User_ID,Registration_Date,Total_Dreams,Active_Days,Still_Active_Week2,Dreams_With_Emotions,DNA_Viewed,DNA_Recomputed,DNA_Personality,Evolution_Score,Health_Score,Dominant_Emotion,Art_Generated,Mindmaps_Created,Dream_Maps_Created,Totems_Collected,Totems_Deleted,Riddles_Attempted,Riddles_Solved,Riddle_Success_Rate,Avatar_Created,Avatar_Updated,Sky_Temple_Visited,Sky_Chapters_Completed,Forest_Visited,Forest_Chapters_Completed,Cloud_Kingdom_Visited,Cloud_Chapters_Completed,Total_Story_Chapters,Shared_Dreams,Likes_Given,Comments_Given,Messages_Sent,Messages_Received,Notifications_Clicked,Library_Texts_Viewed,Library_PDFs_Downloaded,Support_Locator_Used,Tutorial_Completed,Dreams_Exported_PDF,Individual_Dream_Downloads,Features_Used_Count,Avg_Session_Minutes,Total_Logins
U001,2025-11-20,1,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,1,0,0,0,0,0,0,No,No,0,0,0,3,1
U002,2025-11-20,1,1,No,1,No,0,-,0,4,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,1,0,0,0,0,No,No,0,0,3,5,2
U003,2025-11-20,2,1,No,1,No,0,-,3,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,2,10,1
U004,2025-11-21,2,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,2,9,1
U005,2025-11-21,3,2,No,2,Yes,0,Balanced Dreamer,21,20,Joy,0,0,0,1,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,2,1,0,0,1,0,0,No,No,0,0,2,12,2
U006,2025-11-21,2,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,1,0,0,0,0,No,No,0,0,0,3,1
U007,2025-11-21,1,2,No,1,No,0,-,0,0,-,0,0,0,0,0,1,0,0%,No,0,No,0,No,0,No,0,0,0,3,0,0,0,0,0,0,No,No,0,0,1,13,2
U008,2025-11-22,2,1,No,1,No,0,-,3,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,1,0,0,0,0,0,No,No,0,0,1,3,3
U009,2025-11-22,3,2,No,2,Yes,0,Radiant Dreamer,24,28,Joy,0,0,0,1,0,1,0,0%,No,0,Yes,1,No,0,No,0,3,0,4,2,0,0,2,1,0,No,Yes,0,0,4,17,2
U010,2025-11-22,1,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,1,1,0,0,0,0,0,No,No,0,0,1,8,1
U011,2025-11-23,2,1,No,1,No,0,-,2,1,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,2,0,1,1,0,0,0,0,0,No,No,0,0,0,4,2
U012,2025-11-23,2,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,1,9,2
U013,2025-11-24,4,3,No,3,Yes,0,Vigilant Dreamer,34,33,Fear,1,0,0,2,0,2,1,50%,No,0,Yes,2,No,0,No,0,0,0,5,1,0,0,3,1,0,No,Yes,0,0,6,25,6
U014,2025-11-24,0,1,No,0,No,0,-,4,2,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,2,1,1,0,0,0,0,No,No,0,0,1,4,1
U015,2025-11-25,1,2,No,1,No,0,-,0,3,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,3,0,0,0,0,0,0,No,No,0,0,1,7,4
U016,2025-11-25,1,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,1,0,0,0,0,No,No,0,0,2,3,1
U017,2025-11-26,2,2,No,2,Yes,0,Reflective Dreamer,25,23,Sadness,0,0,0,1,0,1,0,0%,No,0,No,0,No,0,No,0,2,0,3,0,0,0,2,0,0,No,Yes,0,0,5,18,2
U018,2025-11-26,2,1,No,0,No,0,-,3,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,1,0,0,0,0,0,No,No,0,0,2,7,1
U019,2025-11-27,2,1,No,1,No,0,-,2,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,2,0,0,0,0,0,0,No,No,0,0,2,5,3
U020,2025-11-27,1,1,No,0,No,0,-,0,4,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,2,0,1,0,0,0,0,No,No,0,0,1,8,2
U021,2025-11-28,3,3,No,3,Yes,0,Seeker Dreamer,42,35,Surprise,1,0,0,2,0,2,1,50%,No,0,Yes,1,No,0,No,0,2,0,6,0,0,0,3,1,0,No,Yes,0,0,6,28,6
U022,2025-11-28,1,1,No,0,No,0,-,0,2,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,0,1,0,0,0,0,0,No,No,0,0,1,9,1
U023,2025-11-29,2,2,No,1,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,2,0,1,0,0,0,0,0,0,No,No,0,0,2,6,2
U024,2025-11-29,2,1,No,0,No,0,-,0,3,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,2,0,0,0,0,0,0,0,0,No,No,0,0,2,1,1
U025,2025-11-30,4,2,No,2,Yes,0,Shadow Explorer,26,19,Fear,0,0,0,1,0,1,0,0%,No,0,No,0,No,0,No,0,0,0,4,0,0,0,2,0,0,No,Yes,0,0,5,18,2
